country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share,gdp_per_capita,gdp_per_capita_quintiles
Cote d'Ivoire,2021,CIV,27478250.0,102581665792.0,0.0,0.0,11.707,0.743,6.775,52.524,3.674,7.521,1.911,0.437,0.806,0.426,0.101,0.18,0.0,0.0,14.726,0.549,0.145,0.0,347.682,12914.25,0.0,1.298,82.059,12566.566,264.325,,2370.596,0.556,0.028,0.001,4.929,0.179,0.951,1.97,40.817,1.485,7.23,0.277,3.1,0.119,6.749,0.246,,,65.14,0.0,0.032,0.128,0.0,0.0,0.02,0.522,0.0,0.007,0.032,1.692,0.044,,0.007,0.062,1.036,0.057,,0.3,0.001,0.004,0.005,0.0,51.51,24.86,3.762,34.31,3733.1950103081526,1.0
Croatia,2021,HRV,4060139.0,84978688000.0,1.213,0.299,17.701,0.831,4.925,15.247,0.684,4.7,3.755,0.179,0.155,4.36,0.209,0.18,1.686,0.415,22.594,5.515,0.287,79.929,1118.099,1846.978,142.221,18.859,206.837,1049.736,664.501,5.752,24213.969,1.155,0.288,0.071,5.311,1.308,5.39,4.339,-2.455,-0.605,3.68,0.891,1.72,0.416,9.05,2.229,0.038,0.153,98.312,0.073,0.048,0.037,0.011,0.177,0.064,0.075,0.018,0.102,0.081,0.141,0.11,0.059,0.069,0.067,-0.062,0.076,0.052,0.062,0.0,0.001,0.001,0.0,17.92,22.26,5.724,33.926,20929.9947612631,3.0
Cuba,2021,CUB,11256373.0,92551012352.0,0.633,0.056,22.057,2.325,11.784,14.839,2.142,16.869,1.318,0.183,0.143,1.96,0.245,0.212,0.005,0.0,,,,59.565,1636.841,4701.887,11.284,0.764,42.923,4087.558,1522.305,,9229.538,1.202,0.073,0.006,2.209,0.196,3.644,3.375,-7.218,-0.641,11.15,0.985,3.56,0.315,19.137,1.7,,,103.891,0.038,0.059,0.036,0.0,0.132,0.094,0.19,0.001,0.004,0.017,0.551,0.251,,0.017,0.028,-0.183,0.162,,0.19,0.001,0.002,0.003,0.0,38.19,41.24,,,8222.098925826285,1.0
Cyprus,2021,CYP,1244193.0,27790155776.0,0.882,0.709,7.6,0.331,4.551,6.794,0.331,5.119,5.461,0.234,0.228,6.109,0.264,0.255,0.201,0.162,6.779,5.478,0.284,34.089,301.471,252.154,4.096,0.0,0.029,65.622,261.932,1.326,23985.012,1.168,0.0,0.0,0.0,0.0,6.95,6.746,-0.806,-0.648,0.74,0.602,0.37,0.301,6.497,5.222,0.016,0.02,29.842,0.053,0.02,0.017,0.001,0.076,0.017,0.01,0.001,0.0,0.0,0.009,0.043,0.014,0.0,0.0,-0.02,0.055,0.007,0.011,0.0,0.0,0.0,0.0,8.29,8.54,-0.491,-6.752,22335.88822312937,3.0
Czechia,2021,CZE,10510748.0,326100320256.0,1.891,0.18,97.138,5.284,5.753,74.934,3.636,5.099,7.129,0.274,0.161,9.242,0.326,0.208,51.778,4.926,99.888,9.485,0.348,149.973,12076.99,11759.065,9729.794,8.814,690.755,-208.665,1445.188,52.466,44385.371,1.5,0.053,0.005,18.681,1.777,11.065,10.513,-22.204,-2.112,12.44,1.181,5.32,0.505,23.232,2.21,0.143,1.503,466.523,0.113,0.262,0.182,0.346,0.333,0.695,0.475,1.21,0.048,0.272,-0.028,0.239,0.542,0.013,0.236,-0.564,0.196,0.508,0.363,0.001,0.005,0.006,0.0,110.77,116.59,8.034,8.747,31025.41515180461,4.0
Democratic Republic of Congo,2021,COD,95894120.0,81846378496.0,0.451,0.005,2.607,0.124,4.986,401.287,23.463,6.21,4.185,6.522,10.185,0.027,0.03,0.066,0.0,0.0,,,,13.617,195.405,23054.625,45.929,0.0,0.249,24133.742,135.609,,410.887,0.473,0.0,0.0,0.0,0.0,0.612,7.559,398.68,4.158,46.03,0.512,26.68,0.297,2.156,0.022,,,39.402,0.027,0.007,0.977,0.0,0.03,0.011,0.932,0.006,0.0,0.0,3.25,0.022,,0.0,0.0,10.121,0.018,,0.682,0.002,0.009,0.011,0.0,679.57,55.0,,,853.5077906340869,0.0
Denmark,2021,DNK,5854246.0,268317622272.0,1.227,0.21,29.577,1.295,4.579,30.42,1.368,4.71,5.196,0.132,0.162,5.052,0.129,0.157,4.377,0.748,42.579,7.309,0.187,81.546,4115.088,5317.484,1846.31,18.731,277.887,1203.88,1875.227,15.387,32148.652,0.732,0.126,0.022,4.778,0.816,7.454,7.602,0.843,0.144,7.78,1.342,5.17,0.892,18.666,3.188,0.069,0.403,188.206,0.073,0.08,0.074,0.029,0.181,0.237,0.215,0.23,0.101,0.109,0.162,0.31,0.159,0.03,0.06,0.021,0.158,0.136,0.175,0.0,0.002,0.003,0.0,44.06,43.2,14.297,50.552,45832.99408190227,4.0
Djibouti,2021,DJI,1105562.0,2913438464.0,0.077,0.07,0.379,0.016,4.368,0.452,0.016,3.635,0.409,0.157,0.147,0.343,0.132,0.123,0.0,0.0,,,,0.593,19.24,23.711,0.0,0.0,0.0,4.47,18.647,,2785.072,1.137,0.0,0.0,0.0,0.0,1.285,1.285,0.073,0.066,0.66,0.615,0.26,0.242,0.302,0.273,,,3.079,0.005,0.001,0.001,0.0,0.001,0.001,0.001,0.0,0.0,0.0,0.001,0.003,,0.0,0.0,0.002,0.003,,0.004,0.0,0.0,0.0,0.0,1.38,1.38,,,2635.255611173322,0.0
Dominica,2021,DMA,72435.0,667810432.0,0.0,0.0,0.159,0.015,10.164,0.085,0.015,20.71,1.177,0.132,0.112,2.189,0.241,0.207,0.0,0.0,,,,0.0,4.981,3.919,0.0,0.0,0.0,0.953,4.981,,10547.773,1.226,0.0,0.0,0.0,0.0,3.219,3.079,-0.073,-1.012,0.04,0.56,0.02,0.28,0.159,2.189,,,0.764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,,0.0,0.0,-0.002,0.001,,0.0,0.0,0.0,0.0,0.0,0.22,0.23,,,9219.444080900117,1.0
Dominican Republic,2021,DOM,11117873.0,165255135232.0,2.171,0.195,28.922,2.542,9.637,28.263,2.689,10.514,2.542,0.15,0.255,2.601,0.156,0.26,4.524,0.407,31.493,2.863,0.193,53.73,776.145,1554.562,57.33,0.0,29.951,1478.827,635.134,,9987.583,0.683,0.0,0.0,2.99,0.269,3.797,3.654,-0.66,-0.059,9.31,0.856,3.34,0.307,19.237,1.73,,,111.041,0.13,0.078,0.069,0.03,0.119,0.045,0.063,0.007,0.0,0.012,0.199,0.105,,0.0,0.038,-0.017,0.163,,0.083,0.0,0.001,0.001,0.0,39.76,41.32,5.113,19.383,14863.91643725378,2.0
East Timor,2021,TLS,1320944.0,,0.0,0.0,0.736,0.018,2.457,4.987,0.201,4.197,3.775,,2.337,0.557,,0.345,0.0,0.0,,,,0.0,9.278,107.913,0.0,2.367,0.0,427.735,6.911,,1615.498,,0.081,0.061,0.0,0.0,4.616,4.983,4.25,3.218,5.02,3.921,0.26,0.203,0.656,0.496,,,2.134,0.0,0.002,0.012,0.0,0.0,0.001,0.004,0.0,0.013,0.0,0.058,0.001,,0.019,0.0,0.108,0.006,,0.018,0.0,0.0,0.0,0.0,6.38,5.91,,,,
Ecuador,2021,ECU,17797736.0,175524675584.0,2.472,0.139,41.322,6.864,19.921,45.792,4.959,12.145,2.573,0.266,0.216,2.322,0.218,0.195,0.0,0.0,40.785,2.319,0.257,69.174,1249.648,4689.301,0.0,66.647,34.003,4090.123,1079.825,,11923.518,1.173,2.322,0.13,1.026,0.058,4.182,5.691,4.47,0.251,27.18,1.567,5.17,0.298,35.501,1.995,,,212.212,0.148,0.111,0.112,0.0,0.153,0.072,0.189,0.0,0.361,0.013,0.551,0.178,,0.558,0.013,0.113,0.3,,0.225,0.001,0.002,0.004,0.0,98.7,72.53,6.328,18.364,9862.191212635134,2.0
Egypt,2021,EGY,109262184.0,1221832605696.0,16.156,0.148,249.624,13.804,5.854,249.917,13.804,5.847,2.287,0.2,0.237,2.285,0.2,0.237,6.228,0.057,241.614,2.248,0.198,544.793,6667.728,6980.707,169.393,66.869,2138.55,355.774,3748.122,,9639.12,0.873,3.915,0.036,126.313,1.156,3.331,3.332,0.293,0.003,75.13,0.711,23.32,0.221,97.012,0.888,,,1053.191,0.966,0.672,0.609,0.042,1.209,0.384,0.282,0.021,0.362,0.842,0.048,0.619,,0.94,1.594,0.007,0.82,,0.418,0.003,0.003,0.007,0.0,351.96,351.77,5.794,2.457,11182.575351925969,2.0
El Salvador,2021,SLV,6314165.0,54756343808.0,0.457,0.072,7.204,0.703,10.82,6.252,0.703,12.678,0.99,0.098,0.14,1.141,0.117,0.161,0.004,0.001,8.536,1.356,0.162,18.571,239.956,407.071,0.103,0.0,0.0,636.07,221.282,,7076.433,0.762,0.0,0.0,0.0,0.0,2.041,2.216,-0.953,-0.151,3.49,0.556,1.18,0.188,6.742,1.068,,,44.682,0.027,0.019,0.015,0.0,0.041,0.014,0.016,0.0,0.0,0.0,0.086,0.037,,0.0,0.0,-0.024,0.057,,0.042,0.0,0.0,0.001,0.0,13.92,12.82,2.035,31.296,8671.984943060563,1.0
Equatorial Guinea,2021,GNQ,1634473.0,22750613504.0,0.0,0.0,5.225,0.236,4.724,6.214,0.309,5.232,3.802,0.296,0.307,3.197,0.264,0.258,0.0,0.0,,,,0.0,147.287,295.826,0.0,54.49,65.609,277.511,27.188,,12399.339,1.235,0.479,0.293,3.628,2.22,7.347,9.813,0.989,0.605,5.67,3.651,0.04,0.026,1.118,0.684,,,20.266,0.0,0.014,0.015,0.0,0.0,0.008,0.012,0.0,0.295,0.026,0.037,0.004,,0.115,0.046,0.025,0.009,,0.041,0.0,0.0,0.001,0.0,15.24,11.41,,,13919.234826148857,2.0
Eritrea,2021,ERI,3620324.0,,0.108,0.03,0.821,0.037,4.783,7.269,0.111,1.547,2.008,,2.196,0.227,,0.248,0.0,0.0,,,,1.381,18.823,94.009,0.0,0.0,0.0,197.196,17.442,,914.495,,0.0,0.0,0.0,0.0,1.809,1.938,6.449,1.781,3.68,1.052,1.71,0.489,0.712,0.197,,,3.311,0.006,0.002,0.018,0.0,0.003,0.001,0.004,0.0,0.0,0.0,0.027,0.003,,0.0,0.0,0.164,0.006,,0.019,0.0,0.0,0.0,0.0,6.78,6.33,,,,
Estonia,2021,EST,1328704.0,35409424384.0,0.02,0.015,10.449,1.106,11.838,10.009,1.399,16.25,7.533,0.47,0.162,7.864,0.507,0.17,6.222,4.682,12.477,9.385,0.508,22.182,1640.459,1665.594,1171.059,2.842,73.545,109.59,368.566,2.265,46380.293,2.199,0.0,0.0,0.915,0.688,9.698,11.175,-0.44,-0.331,1.11,0.836,1.4,1.055,3.227,2.428,0.05,0.066,61.626,0.001,0.028,0.024,0.042,0.049,0.094,0.067,0.146,0.015,0.029,0.015,0.061,0.023,0.0,0.012,-0.011,0.027,0.022,0.065,0.0,0.001,0.001,0.0,14.83,12.87,3.134,33.544,26649.595684215597,3.0
Eswatini,2021,SWZ,1192273.0,8771760128.0,0.0,0.0,1.087,0.027,2.565,1.93,0.137,7.648,1.619,0.189,0.271,0.912,0.118,0.152,0.191,0.16,,,,0.0,41.99,163.121,20.74,0.0,0.0,241.384,21.25,,5981.112,0.77,0.0,0.0,0.0,0.0,2.385,2.3,0.843,0.707,1.34,1.146,0.42,0.359,0.896,0.752,,,7.131,0.0,0.003,0.005,0.001,0.0,0.002,0.007,0.003,0.0,0.0,0.033,0.004,,0.0,0.0,0.021,0.008,,0.008,0.0,0.0,0.0,0.0,2.69,2.79,,,7357.174177390581,1.0
Ethiopia,2021,ETH,120283024.0,195740319744.0,3.914,0.033,17.793,0.752,4.412,249.321,-3.022,-1.198,2.073,1.274,2.378,0.148,0.081,0.17,1.264,0.011,20.282,0.173,0.099,41.354,280.639,6389.81,12.355,0.011,0.0,9867.188,226.919,,871.584,0.468,0.0,0.0,0.0,0.0,1.323,1.607,231.528,1.925,84.47,0.74,48.08,0.421,12.614,0.105,,,104.837,0.234,0.048,0.607,0.008,0.092,0.016,0.258,0.002,0.0,0.0,1.329,0.037,,0.0,0.0,5.878,0.107,,0.491,0.004,0.003,0.008,0.001,183.37,150.96,3.241,19.019,1627.331216282025,0.0
Fiji,2021,FJI,924615.0,,0.0,0.0,1.47,0.04,2.767,1.617,0.04,2.51,1.749,,0.19,1.59,,0.172,0.0,0.0,,,,1.267,49.743,102.798,1.886,0.0,0.004,72.327,46.586,,9222.848,,0.0,0.0,0.0,0.0,2.591,-0.174,0.147,0.159,0.45,0.49,0.21,0.229,1.47,1.59,,,8.528,0.0,0.004,0.004,0.0,0.003,0.003,0.004,0.0,0.0,0.0,0.01,0.008,,0.0,0.0,0.004,0.012,,0.008,0.0,0.0,0.0,0.0,-0.16,2.38,,,,
Finland,2021,FIN,5535982.0,214535733248.0,0.57,0.103,37.602,0.006,0.017,56.985,-0.616,-1.07,10.294,0.306,0.178,6.792,0.213,0.118,12.291,2.22,48.002,8.681,0.27,48.564,3226.029,6205.74,1258.133,2.691,241.369,3143.236,1647.094,28.177,57765.715,1.556,0.076,0.014,4.267,0.771,9.323,10.58,19.383,3.501,4.64,0.84,5.01,0.907,19.826,3.581,0.104,0.573,319.79,0.034,0.101,0.139,0.082,0.108,0.186,0.251,0.156,0.015,0.095,0.423,0.272,0.291,0.018,0.054,0.492,0.167,0.194,0.22,0.001,0.002,0.004,0.0,58.42,51.48,10.406,27.679,38752.96799158668,4.0
France,2021,FRA,64531448.0,2581673803776.0,5.994,0.093,305.964,25.932,9.26,290.245,26.921,10.224,4.498,0.118,0.111,4.741,0.125,0.117,28.878,0.447,375.327,5.821,0.166,699.426,39105.766,34083.57,19078.953,171.551,3663.175,-4701.388,15350.882,141.778,40464.465,1.079,2.149,0.033,85.58,1.326,6.429,5.467,-15.719,-0.244,59.68,0.927,38.28,0.594,179.746,2.785,0.056,3.617,2611.23,0.358,0.824,0.707,0.193,1.552,2.251,1.377,2.372,0.93,1.442,-0.633,2.535,1.464,0.516,1.08,-0.399,1.518,1.221,1.322,0.003,0.016,0.021,0.002,352.1,414.04,95.295,34.03,40006.444668280186,4.0
Gabon,2021,GAB,2341185.0,36693262336.0,0.209,0.089,5.712,0.02,0.345,16.082,0.056,0.351,6.869,0.449,0.858,2.44,0.163,0.305,0.0,0.0,,,,4.047,274.276,1005.244,0.0,142.861,20.675,2226.063,106.692,,8009.644,0.525,2.516,1.075,1.117,0.477,5.872,8.775,10.369,4.429,5.89,2.626,0.66,0.294,1.87,0.799,,,18.752,0.013,0.015,0.039,0.0,0.009,0.016,0.041,0.0,0.774,0.008,0.3,0.018,,0.604,0.014,0.263,0.016,,0.086,0.001,0.001,0.001,0.0,19.68,13.17,,,15672.944400378441,2.0
Gambia,2021,GMB,2639922.0,3939021824.0,0.0,0.0,0.656,0.042,6.817,0.692,0.042,6.433,0.262,0.169,0.282,0.248,0.151,0.267,0.0,0.0,,,,0.0,14.951,65.404,0.0,0.0,0.0,117.798,14.951,,931.273,0.607,0.0,0.0,0.0,0.0,0.933,1.14,0.037,0.014,1.3,0.518,0.33,0.132,0.656,0.248,,,2.458,0.0,0.002,0.002,0.0,0.0,0.001,0.003,0.0,0.0,0.0,0.016,0.002,,0.0,0.0,0.001,0.006,,0.007,0.0,0.0,0.0,0.0,2.86,2.34,,,1492.0978059200233,0.0
Georgia,2021,GEO,3757984.0,58984800256.0,1.057,0.281,11.01,0.319,2.986,1.813,0.539,42.308,0.482,0.008,0.023,2.93,0.171,0.141,0.527,0.14,13.075,3.472,0.213,19.999,671.612,241.055,82.692,2.792,252.262,-378.858,313.867,,20834.768,1.24,0.002,0.001,6.039,1.607,4.667,4.678,-9.197,-2.447,5.21,1.382,2.19,0.581,3.385,0.901,,,78.297,0.063,0.03,0.004,0.004,0.044,0.039,0.01,0.01,0.015,0.099,-0.051,0.052,,0.001,0.076,-0.233,0.029,,0.033,0.0,0.0,0.001,0.0,17.64,17.6,2.384,22.302,15695.862530548295,3.0
Germany,2021,DEU,83408560.0,3885961314304.0,13.234,0.159,674.754,35.372,5.532,668.781,36.472,5.768,8.018,0.192,0.188,8.09,0.194,0.19,230.221,2.76,769.492,9.234,0.228,1206.607,93290.508,91895.617,64665.84,93.574,7177.258,-1155.369,19852.715,294.509,42555.059,0.977,1.807,0.022,173.484,2.08,9.017,8.662,-5.972,-0.072,48.71,0.586,34.12,0.41,248.201,2.976,0.094,7.806,3549.456,0.791,1.818,1.629,1.537,2.677,5.371,3.713,8.041,0.507,2.825,-0.156,3.279,3.041,0.434,2.19,-0.152,2.097,2.636,2.899,0.004,0.041,0.047,0.002,720.23,749.71,130.111,20.35,46589.47851760059,4.0
Ghana,2021,GHA,32833036.0,118873890816.0,2.321,0.071,21.313,1.658,8.438,21.313,1.402,7.041,0.649,0.153,0.186,0.649,0.144,0.186,0.0,0.0,22.929,0.713,0.182,37.496,398.073,2936.383,4.164,3.796,27.938,3966.61,324.679,,3483.363,0.808,1.127,0.034,4.751,0.145,1.194,0.404,0.0,0.0,10.91,0.346,5.38,0.171,13.114,0.399,,,114.369,0.139,0.057,0.052,0.0,0.083,0.023,0.119,0.001,0.021,0.011,0.534,0.054,,0.27,0.06,0.0,0.111,,0.114,0.001,0.001,0.002,0.0,12.75,37.65,3.275,16.661,3620.557380560238,1.0
Greece,2021,GRC,10445368.0,250035847168.0,2.978,0.285,56.309,0.699,1.257,26.448,-0.803,-2.948,2.532,0.186,0.087,5.391,0.287,0.186,9.775,0.936,53.118,5.053,0.235,282.595,4132.681,5520.311,1636.601,0.417,168.738,1767.697,2019.096,25.232,28961.367,1.296,0.005,0.0,12.152,1.163,7.424,7.557,-29.862,-2.859,9.35,0.884,4.27,0.404,31.014,2.969,0.037,0.385,302.512,0.178,0.152,0.064,0.065,0.627,0.238,0.223,0.204,0.002,0.066,0.238,0.333,0.261,0.001,0.153,-0.758,0.262,0.13,0.189,0.001,0.002,0.003,0.0,79.91,78.5,-2.492,-4.482,23937.485703519495,3.0
Grenada,2021,GRD,124624.0,,0.0,0.0,0.319,0.033,11.627,0.246,0.033,15.634,1.973,,0.209,2.561,,0.272,0.0,0.0,,,,0.0,8.571,5.31,0.0,0.0,0.0,-1.063,8.571,,9432.062,,0.0,0.0,0.0,0.0,19.473,19.473,-0.073,-0.588,2.04,16.621,0.01,0.081,0.319,2.561,,,1.175,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.001,,0.0,0.0,-0.002,0.003,,0.0,0.0,0.0,0.0,0.0,2.39,2.39,,,,
Guatemala,2021,GTM,17608484.0,127549980672.0,1.38,0.078,20.327,2.732,15.524,38.867,3.391,9.559,2.207,0.287,0.386,1.154,0.147,0.202,5.539,0.315,21.439,1.235,0.183,36.188,462.048,3351.295,51.63,0.828,0.44,3615.122,372.963,,5712.118,0.763,0.094,0.005,0.0,0.0,2.052,2.25,18.54,1.053,10.45,0.611,4.99,0.292,13.315,0.756,,,100.582,0.083,0.055,0.095,0.037,0.08,0.027,0.135,0.006,0.004,0.0,0.487,0.062,,0.023,0.0,0.471,0.112,,0.153,0.001,0.002,0.002,0.0,38.49,35.1,3.843,21.841,7243.666216353435,1.0
Guinea,2021,GIN,13531909.0,19045322752.0,0.0,0.0,4.842,0.309,6.817,25.58,1.188,4.872,1.89,0.99,1.475,0.358,0.194,0.279,0.0,0.0,5.743,0.435,0.296,0.0,92.929,4872.288,0.0,0.0,0.0,4779.358,92.929,,1281.525,0.74,0.0,0.0,0.0,0.0,2.2,3.154,20.738,1.533,16.28,1.264,6.69,0.52,4.842,0.358,,,17.341,0.0,0.013,0.062,0.0,0.0,0.005,0.197,0.0,0.0,0.0,0.644,0.015,,0.0,0.0,0.526,0.041,,0.129,0.001,0.001,0.002,0.0,40.61,28.33,1.21,26.703,1407.4379861703178,0.0
Guinea-Bissau,2021,GNB,2060730.0,2752462080.0,0.0,0.0,0.352,0.022,6.818,0.572,0.059,11.529,0.277,0.193,0.41,0.171,0.113,0.252,0.0,0.0,,,,0.0,10.497,204.03,0.0,0.0,0.0,336.099,10.497,,677.328,0.503,0.0,0.0,0.0,0.0,1.309,2.137,0.22,0.107,1.36,0.69,0.85,0.431,0.352,0.171,,,1.396,0.0,0.001,0.001,0.0,0.0,0.001,0.008,0.0,0.0,0.0,0.045,0.002,,0.0,0.0,0.006,0.003,,0.012,0.0,0.0,0.0,0.0,4.21,2.58,,,1335.6733196488624,0.0
Guyana,2021,GUY,804571.0,,0.162,0.201,3.088,-0.103,-3.232,8.291,-0.03,-0.359,10.305,,0.753,3.838,,0.28,0.0,0.0,,,,1.002,104.9,745.441,0.033,0.775,0.0,1003.68,103.09,,13690.034,,0.247,0.307,0.0,0.0,7.111,24.788,5.203,6.467,1.83,2.291,0.95,1.189,2.679,3.33,,,11.015,0.01,0.008,0.02,0.0,0.002,0.006,0.03,0.0,0.004,0.0,0.135,0.017,,0.059,0.0,0.132,0.023,,0.038,0.0,0.001,0.001,0.0,19.8,5.68,,,,
Haiti,2021,HTI,11447575.0,18653679616.0,0.078,0.007,2.876,0.258,9.863,8.518,1.138,15.412,0.744,0.448,0.722,0.251,0.181,0.244,0.0,0.0,,,,4.368,78.55,459.166,0.945,0.0,0.0,918.382,73.236,,1030.881,0.783,0.0,0.0,0.0,0.0,0.941,0.997,5.643,0.493,5.28,0.473,1.6,0.143,2.798,0.244,,,11.801,0.005,0.008,0.021,0.0,0.01,0.005,0.019,0.0,0.0,0.0,0.124,0.012,,0.0,0.0,0.143,0.024,,0.047,0.0,0.0,0.001,0.0,11.13,10.5,,,1629.4874343256104,0.0
Honduras,2021,HND,10278346.0,45382746112.0,0.782,0.076,10.898,1.054,10.703,31.526,1.2,3.958,3.067,0.664,0.603,1.06,0.217,0.208,0.0,0.0,8.17,0.807,0.176,21.203,272.034,2052.921,5.412,0.0,0.0,3176.651,245.418,,5086.934,1.272,0.0,0.0,0.0,0.0,2.248,2.826,20.628,2.007,7.77,0.78,3.26,0.327,10.115,0.984,,,52.285,0.047,0.029,0.077,0.0,0.047,0.016,0.083,0.001,0.0,0.0,0.428,0.041,,0.0,0.0,0.524,0.085,,0.097,0.0,0.001,0.002,0.0,28.14,22.39,-1.675,-17.011,4415.374430088265,1.0
Hungary,2021,HUN,9709784.0,250426490880.0,0.929,0.096,48.455,1.17,2.475,40.357,1.28,3.276,4.156,0.164,0.142,4.99,0.198,0.171,6.391,0.658,60.797,6.235,0.268,89.91,5058.661,5695.75,2618.161,12.878,1037.791,655.013,1276.431,23.491,29247.697,1.083,0.162,0.017,22.112,2.277,6.2,6.394,-8.097,-0.834,7.0,0.716,5.7,0.583,18.375,1.892,0.05,0.485,283.989,0.056,0.131,0.098,0.043,0.2,0.291,0.23,0.326,0.07,0.408,0.088,0.211,0.243,0.039,0.279,-0.206,0.155,0.164,0.184,0.0,0.002,0.003,0.0,62.48,60.59,13.513,28.578,25791.149512697706,3.0
Iceland,2021,ISL,370338.0,15315260416.0,0.0,0.0,3.375,0.046,1.384,3.412,0.009,0.278,9.212,0.244,0.059,9.113,0.239,0.058,0.668,1.803,,,,2.751,155.319,321.628,19.889,4.258,0.005,166.309,128.322,0.094,156923.656,4.339,0.175,0.472,0.0,0.001,7.899,7.678,0.037,0.099,0.53,1.469,0.37,1.026,2.526,6.821,0.017,0.006,58.115,0.0,0.009,0.008,0.004,0.006,0.009,0.013,0.002,0.023,0.0,0.022,0.021,0.001,0.042,0.0,0.001,0.021,0.002,0.01,0.0,0.0,0.0,0.0,2.77,2.85,,,41354.81753425249,4.0
India,2021,IND,1407563904.0,8835757506560.0,149.001,0.106,2709.684,264.672,10.825,2794.982,241.222,9.446,1.986,0.312,0.292,1.925,0.294,0.283,1802.312,1.28,2276.881,1.631,0.275,2624.326,57105.387,99074.828,37018.082,181.82,2482.897,44758.105,14798.263,,6809.62,1.028,2.772,0.002,133.451,0.095,2.455,2.432,85.298,0.061,658.09,0.476,261.74,0.189,622.148,0.442,,,9584.976,8.908,7.299,6.807,12.032,5.823,3.288,4.003,4.603,0.985,0.977,6.028,2.444,,0.665,1.685,2.165,5.256,,4.769,0.034,0.036,0.077,0.006,3363.6,3394.87,-168.131,-6.877,6277.340219829905,1.0
Indonesia,2021,IDN,273753184.0,3075456106496.0,28.637,0.105,619.278,9.491,1.557,1649.521,10.297,0.628,6.026,0.557,0.765,2.262,0.196,0.287,303.154,1.107,624.227,2.296,0.199,686.729,14933.863,87410.383,4039.848,423.946,2515.501,80720.711,7267.839,,7871.843,0.697,3.149,0.012,74.088,0.271,3.718,7.269,1030.244,3.763,381.62,1.416,99.4,0.369,210.249,0.768,,,2154.942,1.712,1.668,4.017,2.024,1.524,0.86,3.532,0.502,2.297,0.99,10.872,1.2,,0.756,0.935,26.155,1.776,,3.44,0.014,0.04,0.055,0.002,1959.71,1002.37,14.441,2.368,11234.412186767478,2.0
Iran,2021,IRN,87923432.0,1398995943424.0,22.525,0.256,748.879,18.901,2.589,725.796,19.194,2.716,8.255,0.484,0.216,8.517,0.501,0.223,3.73,0.042,658.446,7.543,0.425,538.939,19546.58,20910.797,214.597,1751.381,7512.389,2155.385,9529.275,,38225.703,2.207,32.668,0.372,466.994,5.311,10.324,10.325,-23.083,-0.263,213.68,2.468,37.31,0.431,222.962,2.536,,,3360.935,1.347,2.017,1.768,0.025,1.196,1.125,0.845,0.027,9.49,2.957,0.29,1.574,,7.843,5.895,-0.586,1.884,,1.152,0.009,0.009,0.019,0.001,893.78,893.72,-71.532,-9.799,15911.525649089766,3.0
Iraq,2021,IRQ,43533592.0,513592688640.0,5.239,0.12,185.581,12.074,6.959,201.629,13.026,6.907,4.632,0.439,0.349,4.263,0.416,0.321,0.0,0.0,,,,136.296,4777.053,5355.268,0.191,746.869,434.336,740.678,3459.361,,13267.278,1.177,33.465,0.769,30.044,0.69,7.719,7.731,16.048,0.369,134.69,3.241,5.67,0.136,116.833,2.684,,,577.572,0.313,0.5,0.491,0.0,0.302,0.275,0.216,0.0,4.047,0.171,0.1,0.571,,8.034,0.379,0.407,0.987,,0.464,0.005,0.002,0.007,0.0,321.31,320.82,,,11797.618001289671,2.0
