country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share,gdp_per_capita,gdp_per_capita_quintiles
Thailand,2021,THA,71601104.0,1124031922176.0,21.151,0.295,278.496,1.127,0.406,338.732,0.028,0.008,4.731,0.308,0.244,3.89,0.251,0.2,70.647,0.987,274.684,3.843,0.239,625.81,7783.365,23844.619,1464.689,7.126,1757.715,21036.416,3928.024,,19425.641,1.318,0.556,0.008,77.388,1.081,5.919,6.131,60.236,0.841,71.17,0.998,22.65,0.318,108.753,1.519,,,1390.897,1.265,0.75,0.825,0.472,1.389,0.448,0.963,0.182,0.039,0.692,2.833,0.649,,0.134,0.977,1.529,0.919,,0.905,0.005,0.009,0.015,0.001,437.18,422.09,-2.685,-0.968,15698.527807280738,3.0
Togo,2021,TGO,8644829.0,11866978304.0,0.842,0.097,2.342,0.098,4.382,2.342,-0.085,-3.497,0.271,0.245,0.243,0.271,0.186,0.243,0.0,0.0,7.051,0.835,0.67,20.894,68.293,503.503,0.0,0.0,0.952,934.54,46.448,,1115.704,0.85,0.0,0.0,0.221,0.026,0.957,1.057,0.0,0.0,2.81,0.341,1.79,0.217,1.279,0.148,,,9.645,0.05,0.006,0.006,0.0,0.046,0.004,0.02,0.0,0.0,0.0,0.126,0.008,,0.0,0.003,0.0,0.011,,0.028,0.0,0.0,0.0,0.0,8.71,7.89,4.807,214.238,1372.7256263831246,0.0
Tonga,2021,TON,106034.0,,0.0,0.0,0.175,0.005,2.768,0.175,0.005,2.768,1.649,,0.246,1.649,,0.246,0.0,0.0,,,,0.0,4.57,6.988,0.0,0.0,0.0,2.858,4.57,,6698.594,,0.0,0.0,0.0,0.0,2.953,2.953,0.0,0.0,0.09,0.857,0.05,0.476,0.175,1.649,,,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,,0.0,0.0,0.0,0.001,,0.001,0.0,0.0,0.0,0.0,0.31,0.31,,,,
Trinidad and Tobago,2021,TTO,1525671.0,34697351168.0,0.263,0.172,36.124,0.368,1.029,35.904,0.368,1.035,23.533,1.154,0.212,23.677,1.162,0.213,0.0,0.0,26.192,17.253,0.662,13.016,1608.578,1595.424,0.231,110.929,1055.225,71.411,429.176,,111051.422,5.709,0.279,0.183,32.506,21.306,18.645,18.731,-0.22,-0.144,7.01,4.612,0.42,0.276,3.077,2.017,,,169.428,0.016,0.097,0.087,0.0,0.029,0.093,0.064,0.0,0.601,0.415,0.01,0.071,,0.067,0.41,-0.006,0.026,,0.096,0.001,0.001,0.002,0.0,28.47,28.34,-9.564,-26.748,22742.35478553371,3.0
Tunisia,2021,TUN,12262949.0,130322096128.0,3.223,0.263,31.583,4.004,14.52,30.85,3.895,14.448,2.516,0.23,0.264,2.575,0.23,0.27,0.0,0.0,25.333,2.083,0.215,109.561,938.316,1391.333,14.601,14.192,270.906,546.632,529.056,,9524.104,0.935,0.512,0.042,13.682,1.116,3.452,3.138,-0.733,-0.06,6.87,0.57,3.31,0.275,14.166,1.155,,,116.794,0.193,0.085,0.075,0.0,0.243,0.054,0.056,0.002,0.077,0.107,0.074,0.087,,0.123,0.173,-0.019,0.12,,0.074,0.0,0.001,0.001,0.0,37.81,41.59,-2.245,-8.14,10627.304747658985,2.0
Turkey,2021,TUR,84775408.0,1655984226304.0,44.395,0.524,446.204,32.771,7.927,435.469,34.273,8.543,5.137,0.246,0.225,5.263,0.255,0.231,162.562,1.918,402.119,4.779,0.258,912.679,11340.784,17373.158,4629.728,5.581,1780.385,6256.061,3870.462,141.951,22817.182,1.067,0.195,0.002,114.395,1.349,5.851,5.509,-10.736,-0.127,48.54,0.581,34.75,0.416,118.36,1.396,0.074,6.297,1934.336,2.654,1.202,1.06,1.085,2.025,0.653,0.702,0.576,0.03,0.701,0.843,0.639,1.466,0.047,1.444,-0.273,1.0,2.126,0.648,0.003,0.006,0.01,0.001,459.86,488.47,-11.314,-2.737,19533.780672621477,3.0
Turkmenistan,2021,TKM,6341850.0,142391017472.0,1.523,0.24,83.007,10.971,15.23,82.714,11.008,15.351,13.043,0.512,0.184,13.089,0.514,0.185,0.0,0.0,,,,38.316,2501.11,2686.618,80.133,39.195,1363.741,189.026,979.725,,70866.023,2.549,2.199,0.347,58.76,9.265,25.547,25.547,-0.293,-0.046,80.48,13.068,3.67,0.596,20.525,3.236,,,449.422,0.091,0.224,0.201,0.0,0.085,0.144,0.109,0.01,0.212,0.537,0.025,0.162,,0.528,0.742,-0.007,0.173,,0.23,0.002,0.002,0.004,0.0,157.33,157.33,,,22452.599394813817,3.0
Tuvalu,2021,TUV,11229.0,,0.0,0.0,0.008,0.0,2.767,,,,,,,0.708,,,0.0,0.0,,,,0.0,0.287,,0.0,0.0,0.0,,0.287,,0.0,,0.0,0.0,0.0,0.0,2.731,2.731,,,0.01,0.91,0.0,0.0,0.008,0.708,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.03,0.03,,,,
Uganda,2021,UGA,45853780.0,86584074240.0,0.582,0.013,5.78,0.273,4.966,9.957,-0.02,-0.197,0.217,0.126,0.283,0.126,0.065,0.164,0.0,0.0,7.473,0.168,0.09,8.452,112.415,2482.107,0.0,0.0,0.0,3407.227,103.963,,766.846,0.403,0.0,0.0,0.0,0.0,1.008,1.377,4.177,0.091,24.0,0.559,13.44,0.313,5.199,0.113,,,35.163,0.035,0.016,0.024,0.0,0.019,0.006,0.1,0.0,0.0,0.0,0.459,0.017,,0.0,0.0,0.106,0.044,,0.175,0.001,0.001,0.003,0.0,59.15,43.29,1.966,35.702,1888.264702277544,0.0
Ukraine,2021,UKR,43531424.0,431319908352.0,4.421,0.102,201.858,-5.083,-2.456,215.085,-4.021,-1.835,4.941,0.562,0.23,4.637,0.537,0.216,101.83,2.339,190.236,4.332,0.495,400.974,30784.732,43581.898,17063.645,170.892,6293.958,13143.647,6740.762,114.503,21459.945,2.346,2.304,0.053,54.076,1.242,5.276,5.005,13.227,0.304,32.78,0.741,25.05,0.567,36.453,0.837,0.064,2.773,934.182,0.264,0.544,0.524,0.68,0.89,1.772,1.761,2.122,0.926,2.477,1.77,1.113,1.182,0.553,0.683,0.336,0.308,0.936,1.383,0.003,0.017,0.022,0.001,221.29,233.26,-16.705,-8.072,9908.242568678663,2.0
United Arab Emirates,2021,ARE,9365149.0,734906220544.0,5.728,0.612,204.087,5.002,2.513,204.05,5.002,2.513,21.788,0.286,0.156,21.792,0.286,0.156,6.695,0.715,184.335,19.848,0.293,148.274,5101.479,5103.055,79.674,419.573,3041.274,1.576,1412.684,,139828.766,1.652,1.634,0.174,130.187,13.901,26.439,26.439,-0.037,-0.004,49.8,5.406,1.94,0.211,59.843,6.39,,,1309.517,0.342,0.55,0.497,0.045,0.329,0.294,0.206,0.01,2.274,1.197,0.0,0.233,,0.392,1.643,-0.001,0.506,,0.264,0.002,0.002,0.004,0.0,243.55,243.55,-14.75,-7.409,78472.45361969147,4.0
United Kingdom,2021,GBR,67281040.0,2540210225152.0,3.9,0.058,346.773,20.51,6.286,353.039,21.06,6.344,5.247,0.152,0.177,5.154,0.149,0.173,23.69,0.352,464.667,6.929,0.211,523.547,78508.719,76080.102,56850.594,290.455,7183.232,1152.108,13545.631,115.259,29716.807,0.883,3.474,0.052,158.864,2.361,6.59,6.426,6.265,0.093,50.12,0.751,28.37,0.425,154.111,2.291,0.041,2.735,1999.378,0.233,0.934,0.86,0.158,1.162,4.52,3.074,7.069,1.574,2.827,0.155,2.237,1.19,0.834,2.005,0.159,1.302,0.924,2.411,0.003,0.034,0.039,0.002,429.13,440.08,138.404,42.421,37755.21640497828,4.0
United States,2021,USA,336997632.0,18140645818368.0,41.203,0.122,5007.336,291.645,6.185,5120.114,299.669,6.217,15.193,0.301,0.197,14.859,0.296,0.193,1002.3,2.974,5197.398,15.471,0.32,2795.831,421906.844,546127.562,175444.984,2421.253,78542.547,124390.891,161275.016,1427.211,76988.75,1.475,67.684,0.201,1637.038,4.858,17.951,17.262,112.778,0.335,745.24,2.229,265.74,0.795,2233.778,6.628,0.075,25.332,25945.025,2.463,13.488,12.469,6.691,6.204,24.29,22.067,21.816,13.12,30.915,16.753,26.636,14.738,16.25,20.665,2.863,18.871,8.554,17.335,0.035,0.233,0.279,0.011,5771.0,6001.21,481.707,10.215,53830.18779896946,4.0
Uruguay,2021,URY,3426265.0,68560711680.0,0.291,0.085,6.738,0.441,7.007,16.924,0.551,3.366,4.939,0.24,0.27,1.967,0.096,0.107,0.002,0.001,10.127,2.953,0.155,20.712,378.347,599.029,4.085,0.0,2.903,556.195,350.646,,18316.926,0.977,0.0,0.0,0.158,0.046,10.535,10.022,10.186,2.973,20.74,6.049,7.84,2.287,6.287,1.835,,,62.759,0.017,0.018,0.041,0.0,0.046,0.022,0.024,0.001,0.0,0.001,0.075,0.058,,0.0,0.002,0.259,0.053,,0.14,0.001,0.001,0.002,0.0,34.36,36.12,3.83,60.828,20010.33535934903,3.0
Uzbekistan,2021,UZB,34081452.0,336874766336.0,4.679,0.137,121.631,3.392,2.869,119.909,3.502,3.008,3.518,0.34,0.213,3.569,0.346,0.216,8.084,0.237,,,,173.442,6346.993,6750.507,566.412,52.303,3914.009,415.314,1640.828,,16552.881,1.584,0.881,0.026,96.181,2.822,5.724,5.622,-1.722,-0.051,53.98,1.637,16.77,0.509,11.806,0.346,,,564.146,0.28,0.328,0.292,0.054,0.385,0.365,0.273,0.07,0.283,1.541,0.056,0.271,,0.212,1.214,-0.044,0.1,,0.402,0.003,0.003,0.006,0.0,185.39,188.76,,,9884.401824664043,2.0
